time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,mag_x,mag_y,mag_z
18:27.4,-0.048400055,0.098108747,9.947387646,0.076178103,-0.075674334,0.124434987,-0.070671378,6.163701068,6.258196721
18:27.4,-0.067891426,0.126477541,9.908059142,0.046012617,-0.015134867,0.155543734,-0.070671378,6.170818505,6.258196721
18:27.4,-0.057720209,0.069739953,9.957574468,0.200356229,0.030269734,0.077771867,-0.060070671,6.174377224,6.262295082
18:27.4,-0.086815421,0.098108747,9.957581733,-0.000305755,-0.030269734,-0.04666312,-0.070671378,6.170818505,6.254098361
18:27.4,-0.009890126,0.088652482,9.937287177,0.045553984,-0.060539467,0.202206855,-0.067137809,6.170818505,6.245901639
18:27.4,-0.038701651,0.088652482,9.96700509,0.015694253,0.030269734,0.202206855,-0.084805654,6.167259786,6.258196721
18:27.5,-0.029286935,0.107565012,9.917672155,0.140178134,0.166483535,0.186652481,-0.070671378,6.167259786,6.262295082
18:27.5,-0.029286935,0.107565012,9.927482087,-0.076483858,0.0454046,0.155543734,-0.06360424,6.167259786,6.258196721
18:27.5,-0.029286935,0.107565012,9.947101953,0.028942467,-0.181618402,0.202206855,-0.067137809,6.163701068,6.25
18:27.5,-0.019493968,0.088652482,9.868713688,-0.045248229,0.090809201,0.108880614,-0.060070671,6.174377224,6.25
18:27.5,-0.048400055,0.098108747,9.937577714,-0.030318364,0.0454046,0.186652481,-0.067137809,6.167259786,6.25
18:27.5,-0.067418613,0.079196217,9.947766957,0.047388514,0.121078934,0.139989361,-0.074204947,6.163701068,6.25
18:27.5,-0.096419263,0.098108747,9.947867838,0.031694261,0.090809201,0.077771867,-0.070671378,6.177935943,6.25
18:27.5,-0.038607088,0.079196217,9.947478842,0.108789628,0.105944068,0.062217494,-0.067137809,6.170818505,6.262295082
18:27.5,-0.029286935,0.107565012,9.947101953,0.214215953,-0.121078934,0.077771867,-0.070671378,6.163701068,6.25
18:27.5,0.018921398,0.088652482,9.936999062,0.000764387,0.075674334,-0.062217494,-0.067137809,6.163701068,6.254098361
18:27.6,0.028241552,0.117021277,9.96605197,0.155260877,0.136213801,0.093326241,-0.077738516,6.167259786,6.25
